2308 vloume (thousand),2360,3665,1536,1503,4721,2371,1537,1723,6509,8183,1533,2308 foreign investment (m),2308 investment credit (m),2308 dealer (m),MA20,MA60,MACD,RSI,slowk,slowd,台股大盤收盤價(元),S&P500收盤價
3222538,186.39,266.89,114.78,47.09,61.94,26.85,123.13,96.87,23.9,23.38,60.11,-356.62,3.23,78.25,271.76,230.85,15.72,61.91,29.41,21.16,"15,806.18","3,443.44"
3843278,180.78,262.18,111.39,45.53,58.98,25.55,122.25,94.05,22.8,21.55,56.53,238.55,19.54,-54.34,274.2,232.43,14.59,62.17,41.84,30.34,"16,153.77","3,510.45"
3901243,184.99,269.24,115.26,45.58,58.13,26.2,121.36,94.52,22.56,22.9,56.53,-317.24,40.96,71.15,276.29,233.96,13.89,64.5,46.24,39.16,"16,019.03","3,509.44"
5235523,201.8,280.54,115.26,45.49,58.51,26.5,121.8,94.52,23.23,22.56,58.12,-1138.39,-50.34,-1.78,278.52,235.65,12.57,57.69,54.3,47.46,"15,946.54","3,550.50"
2388422,202.74,274.89,113.81,45.91,59.27,26.1,122.69,95.46,23.61,21.98,60.7,635.03,-35.32,52.82,280.17,237.26,11.73,60.23,39.3,46.61,"15,658.85","3,545.53"
3594845,204.61,281.01,115.26,45.2,58.6,25.9,122.25,94.99,23.61,21.74,61.7,-836.66,-45.95,-102.22,281.71,238.85,10.45,55.09,31.69,41.76,"15,701.45","3,572.66"
3954146,201.8,294.19,121.07,45.11,58.7,25.6,122.25,94.52,24.09,22.85,67.87,186.3,-186.01,-82.95,283.03,240.38,9.2,53.94,22.57,31.19,"15,415.88","3,537.01"
3184794,188.26,288.07,115.75,44.83,57.65,24.9,121.8,94.99,23.76,23.24,72.75,660.96,-4.03,44.42,283.96,241.87,8.13,53.94,22.73,25.67,"15,138.31","3,585.15"
4956705,176.58,292.31,111.39,44.12,56.98,25.2,121.36,94.99,22.9,22.13,65.88,-44.35,192.1,-112.62,284.92,243.31,6.81,49.93,27.35,24.22,"15,410.09","3,626.91"
2445423,187.32,277.72,109.93,44.5,55.65,25.1,121.8,95.93,22.71,20.4,59.31,261.92,32.49,26.51,285.38,244.73,5.89,51.85,29.93,26.67,"15,760.05","3,609.53"
3522269,200.87,283.36,112.36,44.64,57.65,25,121.36,96.4,23.04,21.55,65.18,-408.98,-4.86,-13.76,284.71,246.18,5.18,52.64,38.09,31.79,"15,771.32","3,567.79"
3403899,199.94,282.42,114.78,44.92,58.03,25.15,121.8,95.93,23.61,23.67,71.65,-241.4,12.5,-19.4,283.32,247.66,4.41,50.85,41.27,36.43,"15,706.22","3,581.87"
2652751,200.4,281.01,116.23,44.83,57.46,25.35,121.8,95.93,23.9,23.76,71.55,1013.97,-3.73,-4.15,281.9,248.91,3.98,53.41,36.07,38.48,"15,802.40","3,557.54"
7868114,192.93,277.72,115.26,45.39,57.08,25.1,122.69,95.93,23.66,22.9,74.44,-2836.7,-8.88,-24.21,281.25,250.49,3.11,47.63,56.3,44.55,"16,362.29","3,577.59"
11596918,212.08,289.01,116.23,46.29,58.32,25.55,123.58,98.28,24.71,23.76,72.25,2244.75,-8.09,474.8,280.87,252.16,3.84,60.94,67.45,53.27,"16,424.51","3,635.41"
6300136,201.34,294.19,114.78,46.47,60.89,27.45,125.36,98.28,25.04,24.97,74.34,372.71,7.34,83.57,280.27,253.67,4.87,64.28,79.98,67.91,"16,341.38","3,629.65"
3105093,204.14,287.13,112.36,46.33,61.46,27.45,125.36,99.69,25.43,27.42,74.44,-471,-38.4,18.97,280.03,255.23,5.16,59.24,71.17,72.87,"16,410.16","3,638.35"
3160669,208.34,288.07,113.81,46.33,62.61,26.95,126.25,98.28,26.09,28.77,73.44,89.4,-114.68,-276.02,280.2,256.75,5.41,59.81,67.06,72.74,"16,443.40","3,621.63"
3051566,202.74,283.84,111.87,47.04,61.65,27,127.58,98.75,25.76,27.52,71.85,493.59,-118.17,56.94,280.41,258.11,5.69,60.97,47.11,61.78,"16,212.53","3,662.45"
3434341,199.94,282.89,111.39,46.71,60.7,27.2,127.58,97.34,25.85,26.94,71.25,-1548.79,3.23,97.72,280.44,259.43,5.16,53.45,33.84,49.34,"16,452.18","3,669.01"
3749276,195.73,287.13,111.39,46.8,61.27,27.5,128.47,97.34,25.76,26.65,71.35,-43.29,-1.77,-373.66,279.77,260.57,4.72,53.79,10.93,30.62,"15,953.80","3,666.72"
6079608,191.06,280.54,112.36,45.86,63.94,27.95,126.69,97.34,25.62,28,71.35,-2536.28,-35.62,-43.15,279.24,261.85,3.26,44.06,20.37,21.71,"15,946.88","3,699.12"
3948548,191.06,270.66,109.45,46.14,61.46,29.45,126.69,97.81,25.09,27.9,69.16,1062.72,4.61,-26.87,279.14,263.02,2.64,49.35,23.99,18.43,"16,211.73","3,691.96"
2924850,191.53,261.71,110.9,47.37,61.75,29.35,127.14,99.22,25.47,28.58,68.17,-40.46,11.27,92.81,278.45,263.99,2.21,50.03,28.64,24.33,"15,906.41","3,702.25"
3582365,184.99,259.36,109.93,46.38,61.94,28.2,128.02,99.22,25.04,31.41,67.37,-1024.24,-16.58,-2.41,277.78,264.8,1.23,44.85,19.61,24.08,"15,855.23","3,672.82"
3374659,183.12,263.59,109.45,46,60.51,28.45,128.02,99.69,24.81,29.15,63.99,-585.2,12.1,-32.49,276.96,265.5,-0.01,41.39,7.34,18.53,"15,820.11","3,668.10"
3049794,181.72,257.95,105.58,46.1,60.32,28.15,127.58,101.57,24.57,28.72,64.19,-764.7,-30.3,-64.94,275.81,266,-1.32,38.97,7.38,11.44,"15,853.09","3,663.46"
4621255,177.05,254.65,104.12,46.05,60.13,28.35,127.14,102.04,24.76,29.59,66.58,-337.81,-26.35,-40.5,274.97,266.45,-2.87,35.48,12.31,9.01,"15,911.67","3,647.49"
3423253,177.05,257,104.12,45.72,60.79,27.9,127.58,102.04,24.95,30.79,65.28,-822.83,-8.22,0.01,274.8,267,-3.94,36.79,42.95,20.88,"16,179.56","3,694.62"
4289887,179.38,263.12,104.61,46.29,61.46,27.95,127.58,103.45,25.33,30.98,65.98,798.62,3.38,64.12,274.61,267.51,-3.47,49,67.2,40.82,"16,255.18","3,701.17"
4014581,177.98,260.3,106.06,46.52,61.27,28.15,126.69,104.86,25.38,33.29,65.98,-281.15,5.64,-32.15,274.3,267.97,-3.02,49.32,83.45,64.53,"16,249.33","3,722.48"
2454334,172.84,259.36,105.58,46.33,61.37,28.95,127.14,103.45,25.28,34.64,66.87,-990.4,3.05,-14.86,274.06,268.46,-2.98,46.5,79.98,76.88,"16,313.16","3,709.41"
2489064,171.91,261.71,106.54,46.33,61.08,28.85,127.14,102.98,25.14,35.02,66.28,196.55,-89.68,9.52,274.23,269.04,-2.57,49.61,81.82,81.75,"16,215.82","3,694.92"
1957889,173.31,259.36,106.06,46.14,61.27,28.2,127.58,101.1,25.23,38.49,67.67,124.39,0,-51.71,273.68,269.64,-2.07,50.97,83.83,81.88,"16,287.84","3,687.26"
2810723,176.11,263.59,105.09,46.33,62.32,28.05,127.58,102.04,25.28,38.49,71.05,-252.58,25.92,132.68,272.57,270.23,-1.34,53.67,69.85,78.5,"16,070.24","3,690.01"
3221893,172.84,257.95,103.64,45.72,60.79,27.5,127.58,100.63,25.23,42.33,70.06,-1355.85,205.97,-14.68,271.95,270.89,-1.14,49.96,61.3,71.66,"16,189.22","3,703.06"
1207762,171.91,254.18,108.97,45.63,60.03,27.4,130.69,101.57,25.57,45.51,68.77,264.61,10.33,-4.88,271.32,271.53,-0.67,52.77,58.74,63.3,"16,177.59","3,735.36"
1616473,174.24,254.18,110.42,45.34,59.37,27.1,132.91,100.16,25.43,42.96,69.56,145.44,-0.86,5.76,270.49,272.15,-0.21,53.47,54.75,58.27,"16,032.12","3,727.04"
1560023,173.31,252.77,110.42,45.58,59.08,27.5,132.47,100.16,25.38,44.02,69.66,65.09,-15.42,-36.69,270.01,272.72,-0.04,51.41,45.86,53.12,"16,060.14","3,732.04"
